"id","available_since","inserted_at","partner_end_user_id","schema_version"
"1","2025-01-01 19:16:25.951682","2025-01-01 19:16:25.951682","6d1239cd-43b2-445b-81b2-536236cef455","1"
"2","2025-01-23 02:33:33.634286","2025-01-23 02:33:33.634286","f02d5c82-f32f-457b-887c-3a548a0f7584","1"
"3","2025-01-17 14:20:15.510777","2025-01-17 14:20:15.510777","25b487c3-ed2c-4662-baed-5a3976e01119","1"
"4","2025-01-21 15:10:47.372432","2025-01-21 15:10:47.372432","08a7dc15-5d68-4d43-bfdf-99ad6fd21a91","1"
"5","2025-01-14 02:51:17.178765","2025-01-14 02:51:17.178765","64561870-55b3-42bc-a07a-2c9dc8ec49cb","1"
"6","2025-01-22 08:25:32.661875","2025-01-22 08:25:32.661875","3796054d-02db-4613-a921-1cbc37468166","1"
"7","2025-01-03 12:39:05.968122","2025-01-03 12:39:05.968122","519a0630-f445-4d2a-9f13-1b0c581cbb6f","1"
"8","2025-01-18 12:39:32.451500","2025-01-18 12:39:32.451500","0c834333-bdde-4bec-815c-6dbb1e9724b6","1"
"9","2025-01-21 09:07:29.828336","2025-01-21 09:07:29.828336","dd9dd463-5520-44d0-a517-8464e0d57d5d","1"
"10","2025-01-13 10:18:24.926826","2025-01-13 10:18:24.926826","fa30a2ca-d393-4ae0-9ffa-fed6292ffb39","1"
"11","2025-01-01 09:52:47.159317","2025-01-01 09:52:47.159317","8df90ccd-4bd6-4c60-963b-16ff279acc43","1"
"12","2025-01-14 03:37:39.735899","2025-01-14 03:37:39.735899","4ccda7fd-cebf-4c1d-818c-5e06f5772bbc","1"
"13","2025-01-01 07:52:50.585093","2025-01-01 07:52:50.585093","923847f0-a6f4-46bc-b7ea-626a2676a984","1"
"14","2025-01-19 04:29:31.010568","2025-01-19 04:29:31.010568","8090c8d5-2195-48aa-8ab5-2b59628430ff","1"
"15","2025-01-13 16:44:12.891030","2025-01-13 16:44:12.891030","b2fc2ca6-96ab-44ae-9e88-2348a504335c","1"
"16","2025-01-18 14:55:12.871224","2025-01-18 14:55:12.871224","84a336e4-bf3c-4458-9fcf-22b5323a020b","1"
"17","2025-01-09 15:33:42.056596","2025-01-09 15:33:42.056596","3a6b3052-60b7-4908-bc2e-f9705812fa8e","1"
"18","2025-01-06 05:24:20.594999","2025-01-06 05:24:20.594999","8d7d2ee2-a6fe-48cf-9ab3-86264854beb5","1"
"19","2025-01-13 08:59:02.469019","2025-01-13 08:59:02.469019","030003a8-501b-4b2a-9f26-20d76b5f1986","1"
"20","2025-01-04 01:54:49.613103","2025-01-04 01:54:49.613103","c7c196a5-bc81-43c5-8071-7df8ce4f6c31","1"
"21","2025-01-06 02:49:38.279194","2025-01-06 02:49:38.279194","69bb67e1-346d-45f7-90da-202a6836520d","1"
"22","2025-01-06 13:21:57.811317","2025-01-06 13:21:57.811317","8d7a96a0-a7f0-4a54-ab5f-e25515f54418","1"
"23","2025-01-17 15:14:36.302270","2025-01-17 15:14:36.302270","75a5a5b7-cc58-44a0-878d-ff6a45bbe5bc","1"
"24","2025-01-06 14:42:25.608777","2025-01-06 14:42:25.608777","bd54364f-bbfa-4b3f-ac68-3c29e4f5f1d7","1"
"25","2025-01-08 14:36:30.780585","2025-01-08 14:36:30.780585","896ca6ac-8db1-4ce9-b8b5-4bb1ee0bdb3f","1"
"26","2025-01-20 00:32:13.498717","2025-01-20 00:32:13.498717","2c4c10e7-0b5e-4a8a-a0c7-ca96965fdf41","1"
"27","2025-01-19 06:11:51.550525","2025-01-19 06:11:51.550525","7ea39c4d-8dd9-4787-a7fd-973ae0e45c94","1"
"28","2025-01-06 09:47:01.099272","2025-01-06 09:47:01.099272","869196a3-3814-4852-bdb3-fb399ac73384","1"
"29","2025-01-19 16:18:23.009478","2025-01-19 16:18:23.009478","17a55ae6-9c12-4293-9f75-2b58ac2c7276","1"
"30","2025-01-02 18:37:25.890992","2025-01-02 18:37:25.890992","950b29bf-d190-4e91-bc28-66bec9c35f96","1"
"31","2025-01-23 04:00:27.531709","2025-01-23 04:00:27.531709","c85df2f0-7190-4f6f-92e4-ef0da529f04c","1"
"32","2025-01-20 07:10:42.819917","2025-01-20 07:10:42.819917","2627247c-6357-4db0-b5e4-aefa60e5b321","1"
"33","2025-01-17 09:03:51.837784","2025-01-17 09:03:51.837784","f0c2a2b6-ca21-474e-9da1-c8c42bef8d90","1"
"34","2025-01-17 12:43:08.871067","2025-01-17 12:43:08.871067","bcf545b0-bb4e-4136-890b-164dcfa38610","1"
"35","2025-01-03 04:47:51.630981","2025-01-03 04:47:51.630981","c20cae41-8021-4be7-a7f9-42088dabca10","1"
"36","2025-01-17 09:25:39.874354","2025-01-17 09:25:39.874354","9da14a99-fd23-43ce-bb95-f94aa961f4f3","1"
"37","2025-01-04 23:35:44.577300","2025-01-04 23:35:44.577300","024142d5-8b72-40b0-9672-96b44f11a364","1"
"38","2025-01-03 11:18:33.472548","2025-01-03 11:18:33.472548","ad4a41c4-8a50-400b-810c-a383d46794f3","1"
"39","2025-01-18 11:54:01.538225","2025-01-18 11:54:01.538225","37e7365e-5f56-4b6b-98d4-fced5a2fc870","1"
"40","2025-01-10 14:59:13.032077","2025-01-10 14:59:13.032077","fcaa1f1a-1806-4974-b39b-0b0c038bab9a","1"
"41","2025-01-10 08:45:53.469084","2025-01-10 08:45:53.469084","77b23dcb-7291-46ee-973a-600d9efa96f0","1"
"42","2025-01-12 20:14:11.415083","2025-01-12 20:14:11.415083","5389ba66-cedf-4d3b-bcac-c17f195c36fe","1"
"43","2025-01-20 08:41:52.363400","2025-01-20 08:41:52.363400","37d89475-90e7-4be6-934b-976c8078a388","1"
"44","2025-01-08 10:20:17.409340","2025-01-08 10:20:17.409340","44573c25-c0d6-4930-8f7a-dd00a2676973","1"
"45","2025-01-22 06:58:10.080410","2025-01-22 06:58:10.080410","bf75dac6-0330-4cc4-9caf-9833ff692abb","1"
"46","2025-01-13 23:58:19.220364","2025-01-13 23:58:19.220364","6b5bbeee-a597-4993-b644-070307fc79b1","1"
"47","2025-01-16 01:41:11.208376","2025-01-16 01:41:11.208376","9094aa55-d3d3-4d96-8964-fce1b89ceb3e","1"
"48","2025-01-07 15:35:10.820946","2025-01-07 15:35:10.820946","7c011a53-0dc6-42c7-a8d1-1007da2fa3ac","1"
"49","2025-01-21 22:11:49.327382","2025-01-21 22:11:49.327382","001d2833-740c-46b0-8231-b40b3a721c02","1"
"50","2025-01-02 09:53:12.522568","2025-01-02 09:53:12.522568","f461aa42-55ae-4c43-8aab-e8ded62e979b","1"
"51","2025-01-18 11:54:28.116229","2025-01-18 11:54:28.116229","08cb9111-29fe-4a28-b234-0afdbdae8209","1"
"52","2025-01-06 02:06:45.907834","2025-01-06 02:06:45.907834","e5c6f782-43c6-464d-9245-a0c86c821181","1"
"53","2025-01-08 13:46:44.068419","2025-01-08 13:46:44.068419","398c99d6-3199-4e28-a3f5-5df149b084f4","1"
"54","2025-01-19 01:57:05.647488","2025-01-19 01:57:05.647488","0406afff-fceb-47a0-bafe-830247b8b901","1"
"55","2025-01-18 20:20:10.138246","2025-01-18 20:20:10.138246","68449ac5-f480-488a-a81a-5dbd636babaa","1"
"56","2025-01-19 23:06:49.156621","2025-01-19 23:06:49.156621","d6d4503b-4a85-448c-8c50-cbc25e66fcfc","1"
"57","2025-01-21 14:39:45.222637","2025-01-21 14:39:45.222637","57b200b7-9178-4db2-96b4-6430def0038c","1"
"58","2025-01-02 01:32:28.160157","2025-01-02 01:32:28.160157","7e99fa98-894d-4e4e-8eaa-db56d9ac232f","1"
"59","2025-01-01 03:41:41.397666","2025-01-01 03:41:41.397666","6fc4355c-5fbd-4290-bff6-420f2f0263a3","1"
"60","2025-01-20 16:37:42.249216","2025-01-20 16:37:42.249216","7d36947d-eb94-4851-af09-a1482b4045c2","1"
"61","2025-01-19 07:21:21.376771","2025-01-19 07:21:21.376771","920fea81-334c-4c55-a660-2a957b55f7ef","1"
"62","2025-01-20 04:49:44.929328","2025-01-20 04:49:44.929328","728e603e-e337-4a86-bd8c-f2e3eba43d95","1"
"63","2025-01-05 06:48:06.323563","2025-01-05 06:48:06.323563","98617c22-84a4-4298-9197-a17b5c5d315b","1"
"64","2025-01-20 15:55:19.123688","2025-01-20 15:55:19.123688","5addd6ef-95eb-4793-937a-1c1729f3b58a","1"
"65","2025-01-05 13:31:43.441749","2025-01-05 13:31:43.441749","acf9b975-459f-4497-b5ea-5402a773a5d2","1"
"66","2025-01-16 21:01:58.259824","2025-01-16 21:01:58.259824","b0b776bc-af91-4c4b-8e51-2196423840d6","1"
"67","2025-01-02 13:37:44.011793","2025-01-02 13:37:44.011793","f4056276-2e1a-4fb4-be58-53e7f45e348b","1"
"68","2025-01-05 20:59:12.580237","2025-01-05 20:59:12.580237","d8f01830-155a-4486-b963-d8fd89b0bc0b","1"
"69","2025-01-16 21:38:37.589662","2025-01-16 21:38:37.589662","2e683b13-fc4c-4c98-8be7-eff11f413ade","1"
"70","2025-01-10 01:41:15.498196","2025-01-10 01:41:15.498196","a3561801-5fec-42c9-b986-1d895e453d5c","1"
"71","2025-01-14 13:04:31.898005","2025-01-14 13:04:31.898005","014b652c-9677-4ae3-a60a-32de9cc48916","1"
