"id","available_since","inserted_at","uaid","schema_version"
"1","2025-01-13 03:17:10.612472","2025-01-13 03:17:10.612472","a3ef7bff-1d7f-4e59-9963-79139940d9b4","1"
"2","2025-01-02 02:05:26.888933","2025-01-02 02:05:26.888933","23cbd6f6-b11d-4594-a2b5-87243725abe1","1"
"3","2025-01-03 14:46:58.899109","2025-01-03 14:46:58.899109","0891cfda-3c0a-4089-ba35-a5b30c0e2d26","1"
"4","2025-01-04 18:57:37.857941","2025-01-04 18:57:37.857941","2e8c8f67-b1cd-429d-b856-3599ee2cdd59","1"
"5","2025-01-12 15:16:14.266572","2025-01-12 15:16:14.266572","9b17375f-8ea3-40ff-a3e7-fb6e4ba8159e","1"
"6","2025-01-09 15:05:03.677993","2025-01-09 15:05:03.677993","1334b185-6336-48c1-8cc0-8c7c915c259e","1"
"7","2025-01-03 02:23:43.960912","2025-01-03 02:23:43.960912","0fd282f1-2e5d-402d-b552-d7d0c84e1a37","1"
"8","2025-01-23 05:18:07.755920","2025-01-23 05:18:07.755920","c3b2635b-9447-4f42-802a-f40602d5a0aa","1"
"9","2025-01-16 08:46:02.063995","2025-01-16 08:46:02.063995","bcd9c7ef-5e49-4172-846f-80c3275f481d","1"
"10","2025-01-10 11:18:52.592328","2025-01-10 11:18:52.592328","54445e18-6644-4f39-abb3-e609b0893ca2","1"
"11","2025-01-21 15:41:59.539157","2025-01-21 15:41:59.539157","4e254388-1633-4c4a-8a84-65c32a40274f","1"
"12","2025-01-03 07:48:44.913216","2025-01-03 07:48:44.913216","04b240ef-0b04-462f-8d79-06147a64b550","1"
"13","2025-01-01 20:28:21.910945","2025-01-01 20:28:21.910945","19299fac-c957-4447-8320-c33fd781517c","1"
"14","2025-01-10 22:27:00.604298","2025-01-10 22:27:00.604298","4532dd32-5161-406c-9d0e-cd8a15e7cb9d","1"
"15","2025-01-13 07:17:00.137356","2025-01-13 07:17:00.137356","521270be-7eeb-4052-93e5-3417f5f80d0b","1"
"16","2025-01-19 10:26:38.291383","2025-01-19 10:26:38.291383","74e70b3e-eb13-4049-b7c5-f402d70715bc","1"
"17","2025-01-06 03:25:11.255903","2025-01-06 03:25:11.255903","3d765d33-43c3-4ad4-a091-237c39bcd4bf","1"
"18","2025-01-18 18:20:34.921496","2025-01-18 18:20:34.921496","b4b33c9a-23ba-4ba3-8bc0-b6791350b203","1"
"19","2025-01-16 23:55:44.188295","2025-01-16 23:55:44.188295","77a416f6-1eea-47e9-8e29-0e665b221d55","1"
"20","2025-01-11 06:49:13.383556","2025-01-11 06:49:13.383556","98f5cced-727d-4453-a73e-7d14b807a064","1"
"21","2025-01-04 21:04:29.529592","2025-01-04 21:04:29.529592","9ec1fb02-85c3-4f76-9dc1-2ba8b0fcc50b","1"
"22","2025-01-05 03:30:37.400208","2025-01-05 03:30:37.400208","5e5e4c40-2a1c-409a-9fe5-f6b798f6c98a","1"
"23","2025-01-18 17:55:48.257462","2025-01-18 17:55:48.257462","954c88df-4545-4ee8-b5d4-fbe1dd8e2b76","1"
"24","2025-01-03 21:59:08.705770","2025-01-03 21:59:08.705770","44fdb775-c9d9-45f8-a557-bbee70f9a640","1"
"25","2025-01-04 17:04:30.612248","2025-01-04 17:04:30.612248","fdf92939-d99d-4af9-95c0-3d5303dc1afe","1"
"26","2025-01-02 04:10:53.995066","2025-01-02 04:10:53.995066","d307676f-dfd7-4936-8abc-0c8869a510d1","1"
"27","2025-01-06 08:23:01.482392","2025-01-06 08:23:01.482392","9229cab4-55f4-44a8-bd63-e35752e06312","1"
"28","2025-01-16 19:11:55.287007","2025-01-16 19:11:55.287007","cc81ee01-b4a1-4954-8547-f932df42194b","1"
"29","2025-01-14 19:04:11.678893","2025-01-14 19:04:11.678893","37535072-84b1-4824-94d7-f3df23a1764e","1"
"30","2025-01-09 04:23:46.900470","2025-01-09 04:23:46.900470","a758f84c-8af1-4714-91b2-ed92773febf8","1"
"31","2025-01-09 01:17:05.622025","2025-01-09 01:17:05.622025","7925aa15-2b80-4b04-9df6-3ce145b67b13","1"
"32","2025-01-17 14:59:55.324708","2025-01-17 14:59:55.324708","b5c9c5db-e5f3-4b54-9ab5-0e82276afa2d","1"
"33","2025-01-20 07:37:54.738453","2025-01-20 07:37:54.738453","e95faf98-6dac-4178-b883-f253d3302d81","1"
"34","2025-01-12 03:16:12.036281","2025-01-12 03:16:12.036281","b729045f-44fe-4f47-9dcd-67696fc01086","1"
"35","2025-01-02 15:15:37.538632","2025-01-02 15:15:37.538632","7095cf5e-ee01-4711-a143-8b2e89f9fde8","1"
"36","2025-01-17 02:20:00.925923","2025-01-17 02:20:00.925923","104ff98e-371b-46e5-9e87-60e7f090d0a2","1"
"37","2025-01-21 16:56:39.874616","2025-01-21 16:56:39.874616","17807587-3030-466d-994a-b292df33f3c4","1"
"38","2025-01-02 06:32:57.875755","2025-01-02 06:32:57.875755","ae321c1f-ad60-4a1e-bcfb-04a4b3da22aa","1"
"39","2025-01-17 22:43:04.038781","2025-01-17 22:43:04.038781","3396ee84-8c43-450f-8770-9f8de274caf2","1"
"40","2025-01-04 10:19:11.342487","2025-01-04 10:19:11.342487","e082f404-a25b-41b1-a04b-62f08968cfb0","1"
"41","2025-01-21 02:03:39.218976","2025-01-21 02:03:39.218976","e10d081b-f070-47cb-a9fc-abb6e3908f5e","1"
"42","2025-01-18 15:31:12.433131","2025-01-18 15:31:12.433131","2b2967c7-b56e-4f1f-b093-ae7398a8e510","1"
"43","2025-01-15 19:48:05.854894","2025-01-15 19:48:05.854894","ff4d684b-d7c0-4afc-b615-3ed7e34cec2a","1"
"44","2025-01-20 01:06:52.465912","2025-01-20 01:06:52.465912","acb37bd1-9ac8-437b-8561-7ff0382cdbcb","1"
"45","2025-01-13 06:04:36.989257","2025-01-13 06:04:36.989257","cc9a4b72-5f65-4bcb-a150-3ad70385d8fb","1"
"46","2025-01-22 03:04:46.277171","2025-01-22 03:04:46.277171","01fa5d98-239e-4c98-8f04-4c12bb03ee31","1"
"47","2025-01-15 07:32:45.871569","2025-01-15 07:32:45.871569","f14e9de2-c2ef-4c6a-9049-8db1180003c8","1"
"48","2025-01-17 01:28:51.001275","2025-01-17 01:28:51.001275","f005c709-430e-4f38-b03e-81629de2e975","1"
"49","2025-01-03 06:41:56.762594","2025-01-03 06:41:56.762594","f91dbdaa-6129-4b19-95e5-62417629d05e","1"
"50","2025-01-04 02:37:38.736091","2025-01-04 02:37:38.736091","615381e4-88a2-42d6-8f98-bf638be87ede","1"
"51","2025-01-12 07:51:06.830352","2025-01-12 07:51:06.830352","e77217d7-cb67-45d8-9fac-7c9fb9ecf4a1","1"
